timestamp,key_value,key_event
1741926800.032,m,KD
1741926800.077,m,KU
1741926800.323,,KD
1741926800.383,BackSpace,KU
1741926800.573,h,KD
1741926800.631,h,KU
1741926800.782,a,KD
1741926800.845,a,KU
1741926800.919,p,KD
1741926800.975,p,KU
1741926801.057,p,KD
1741926801.130,p,KU
1741926801.293,y,KD
1741926801.351,y,KU
1741926801.488,y,KD
1741926801.545,y,KU
1741926801.672,y,KD
1741926801.707,y,KU
1741926801.841,y,KD
1741926801.889,y,KU
1741926802.016,y,KD
1741926802.049,y,KU
1741926802.143,y,KD
1741926802.191,y,KU
1741926803.125,Alt_L,KD
1741926803.184,SUSPICIOUS ACTIVITY #4: Window lost focus,suspicious_activity
1741926824.386,Window focus restored,focus_restore
